Date,Symbol,Nominal price,High,Share Tr,Prev Close,1 Month High,MKT Cap,Break 1M Lo,Turnover,Open,1 Month Low,Short Sell,Bid,10-D SMA,Ask,20-D SMA,No of Tr,50-D SMA,Amount/T,100-D SMA,VWAP,250-D SMA,52-W High,52-W Low,Admission Fee,14-D RSI,Spread,10-D R. of Return,P/E Ratio/Est.,Rate of Risk,% Yld/Est.,Risk Return Rate,EPS,Beta,DPS,NBV Per Share
2018-06-15,0688,28.650,28.950,19.611M,28.500,29.200,312.252B,N/A,562.486M,28.200,24.850,92.147M,28.650,27.940,28.700,27.055,1398,26.611,"402,351",27.340,28.682,25.855,31.750,21.700,"57,300",64.041,0.050/0.050,11.047%,7.702/7.702,1.966%,2.792/3.246,5.619,HKD 3.720,+1.156,HKD 0.800,HKD 24.251
2018-06-15,0006,55.400,55.550,5.992M,55.300,56.750,118.025B,N/A,331.793M,55.300,54.000,49.827M,55.300,55.350,55.400,55.028,1147,56.203,"289,270",57.902,55.373,58.151,65.920,51.500,"27,700",46.815,0.050/0.050,1.187%,14.205/14.977,2.603%,29.422/5.208,0.456,HKD 3.900,+0.314,HKD 16.300,HKD 44.784
2018-06-15,0700,410.000,417.000,23.180M,412.000,431.600,"3,915.687B",N/A,9.569B,416.000,389.720,895.641M,410.000,417.180,410.200,411.016,11303,403.346,"846,618",423.775,412.813,377.263,475.720,259.520,"41,000",51.379,0.200/0.200,1.485%,43.982/38.500,55.214%,0.215/0.248,0.027,RMB 7.598,+1.484,RMB 0.708,RMB 26.958
2018-06-15,0762,10.080,10.200,29.896M,10.100,11.440,309.041B,9.950,300.731M,9.980,10.000,60.718M,10.060,10.518,10.080,10.787,1645,10.617,"182,815",10.464,10.059,10.919,13.176,9.136,"20,160",35.129,0.020/0.020,-5.263%,117.369/27.386,0.640%,0.640/1.436,-8.224,RMB 0.070,+0.875,RMB 0.052,RMB 9.937
2018-06-15,0823,71.550,71.550,10.161M,71.400,74.200,153.514B,N/A,725.801M,71.250,67.000,49.921M,71.500,72.400,71.550,70.728,2252,68.904,"322,292",68.383,71.430,66.017,75.000,56.785,"35,775",54.833,0.050/0.050,1.634%,3.296/26.402,4.052%,3.491/3.845,0.403,HKD 21.710,+0.418,HKD 2.498,HKD 83.065
2018-06-15,0836,14.720,15.500,13.951M,15.190,15.730,73.071B,N/A,208.411M,15.400,14.530,7.042M,14.720,15.104,14.740,15.087,1404,14.376,"148,441",13.782,14.939,13.818,15.730,12.070,"29,440",57.183,0.020/0.020,-2.193%,15.175/10.294,0.649%,5.944/5.938,-3.379,HKD 0.970,+0.485,HKD 0.875,HKD 15.636
2018-06-15,0083,13.440,13.560,8.671M,13.360,14.360,88.217B,N/A,116.661M,13.480,13.040,33.164M,13.420,13.896,13.440,13.667,745,13.392,"156,592",13.479,13.454,12.995,14.480,11.460,"26,880",44.178,0.020/0.020,-1.898%,11.294/9.333,0.680%,7.292/3.944,-2.791,HKD 1.190,+0.836,HKD 0.530,HKD 20.323
2018-06-15,0857,6.040,6.210,137.918M,6.120,6.666,129.125B,N/A,838.911M,6.090,5.926,81.859M,6.040,6.390,6.050,6.313,3346,5.911,"250,721",5.733,6.083,5.299,6.666,4.565,"12,080",47.244,0.010/0.010,-5.708%,41.025/17.520,0.496%,2.669/3.331,-11.507,RMB 0.120,+0.869,RMB 0.130,RMB 6.521
2018-06-15,0883,12.940,13.040,88.773M,13.080,14.340,583.989B,N/A,1.148B,12.880,12.200,98.849M,12.940,13.358,12.960,13.288,2909,12.812,"394,684",12.097,12.932,10.522,14.340,7.950,"12,940",48.564,0.020/0.020,-3.433%,19.176/10.653,1.692%,3.864/4.760,-2.029,RMB 0.550,+0.818,RMB 0.402,RMB 8.511
2018-06-15,0939,7.790,7.880,590.344M,7.870,8.500,"1,892.084B",7.790,4.613B,7.850,7.800,478.165M,7.790,8.068,7.800,8.061,13345,8.084,"345,701",8.228,7.814,7.322,9.390,5.910,"7,790",39.968,0.010/0.010,-2.136%,6.614/6.076,0.820%,4.666/5.040,-2.604,RMB 0.960,+1.376,RMB 0.291,RMB 7.119
2018-06-15,0941,70.250,70.300,26.911M,70.450,73.500,"1,442.498B",N/A,1.885B,70.200,69.600,181.373M,70.200,71.655,70.250,71.549,4464,71.688,"422,364",72.776,70.046,75.654,83.195,68.068,"35,125",42.276,0.050/0.050,-0.425%,10.261/9.575,3.409%,9.117/5.067,-0.125,RMB 5.580,+0.523,RMB 5.508,RMB 48.137
