Symbol,High,Open,Amount,Low,Close,Volume,Beta,PE,EPS,Divident,Institute1,Last Advice1,Current Advice1,Last Price1,Current Price1,Institute2,Last Advice2,Current Advice2,Last Price2,Current Price2,Institute3,Last Advice3,Current Advice3,Last Price3,Current Price3,Institute4,Last Advice4,Current Advice4,Last Price4,Current Price4,Institute5,Last Advice5,Current Advice5,Last Price5,Current Price5
01038,60.200,60.000,1.09億,59.400,59.750,1.82百萬,0.334,14.591,4.071,4.01,滙證,買入,買入,79.000,70.000,摩通,買入,買入,75.000,75.000,花旗,買入,買入,74.000,74.000,花旗,買入,買入,77.000,74.000,摩通,買入,買入,75.000,75.000
01044,78.050,76.800,1.80億,76.100,78.300,2.34百萬,0.498,20.304,3.780,3.34,富瑞,買入,買入,97.000,97.000,瑞信,買入,賣出,105.000,63.000,瑞信,買入,買入,108.000,105.000,美林,買入,買入,97.000,88.000,瑞信,買入,買入,110.000,108.000
01088,21.500,21.450,5.24億,20.800,21.700,2.48千萬,1.254,7.230,2.884,5.24,美林,買入,買入,25.000,25.000,大和,買入,買入,22.500,26.800,花旗,買入,買入,24.600,24.600,美林,買入,買入,26.000,26.000,大摩,買入,買入,25.100,25.100
01093,25.200,24.300,9.92億,24.200,24.900,4.03千萬,0.884,53.626,0.455,0.61,滙證,買入,買入,24.600,28.600,摩通,買入,買入,21.000,29.000,德銀,買入,買入,24.800,28.200,里昂,買入,買入,25.450,31.200,瑞信,買入,買入,24.500,30.500
01109,32.050,31.700,3.68億,30.850,31.450,1.18千萬,1.219,9.365,3.321,3.11,瑞銀,買入,買入,38.280,40.000,大摩,買入,買入,27.500,33.600,德銀,買入,買入,37.010,36.210,花旗,買入,買入,39.800,39.900,高盛,買入,買入,30.700,30.700
01113,67.200,66.500,4.78億,66.000,67.250,7.15百萬,0.612,8.214,8.072,2.56,野村,買入,買入,88.700,87.100,瑞銀,買入,買入,83.800,84.750,德銀,買入,買入,79.500,82.000,里昂,賣出,買入,71.000,80.000,美林,持有,持有,77.000,77.000
01299,73.900,73.900,11.61億,71.500,73.750,1.61千萬,1.086,18.069,3.982,1.39,摩通,買入,買入,91.000,96.000,花旗,持有,持有,72.000,78.000,瑞信,買入,買入,77.000,81.000,大和,買入,買入,86.000,88.000,德銀,買入,買入,76.500,77.000
01398,6.700,6.670,16.65億,6.550,6.710,2.52億,1.371,6.951,0.948,4.39,摩通,買入,買入,8.000,8.400,瑞信,買入,買入,8.100,8.600,高盛,持有,買入,7.200,8.500,花旗,買入,買入,7.250,7.600,野村,買入,買入,8.860,10.420
01928,45.150,45.150,4.66億,44.200,44.950,1.05千萬,0.857,28.834,1.552,4.45,瑞信,買入,買入,55.500,58.500,瑞銀,持有,持有,39.500,47.700,摩通,買入,買入,49.000,49.000,德銀,買入,買入,52.000,52.000,滙證,買入,買入,54.000,54.000
01997,61.900,61.100,8.93千萬,60.100,62.150,1.47百萬,0.000,10.651,5.671,1.57,滙證,未評級,持有,尚未評級,57.600,花旗,買入,買入,66.000,66.000,花旗,買入,買入,64.700,64.700,美林,買入,買入,59.000,59.000,大摩,持有,持有,55.000,55.000
02007,17.300,17.280,9.11億,16.940,17.280,5.32千萬,1.675,11.696,1.474,2.81,瑞信,持有,持有,16.300,17.000,大摩,買入,買入,19.000,19.200,德銀,買入,買入,20.430,20.500,瑞信,持有,持有,13.400,16.300,大摩,持有,買入,12.200,19.000
02018,132.800,132.800,11.38億,127.100,131.300,8.87百萬,1.558,24.363,5.217,1.65,富瑞,持有,持有,112.000,112.000,大摩,買入,買入,150.000,150.000,瑞信,買入,買入,136.000,134.000,瑞銀,買入,買入,185.000,155.000,富瑞,持有,持有,112.000,112.000
02318,79.850,79.850,31.55億,78.000,79.550,4.01千萬,1.465,13.094,5.995,2.63,大摩,買入,買入,100.000,100.000,瑞信,買入,買入,111.000,103.000,大和,持有,持有,78.000,76.000,德銀,買入,買入,104.100,95.200,大和,持有,持有,80.000,78.000
02319,29.450,29.150,2.51億,28.400,29.400,8.71百萬,0.760,45.483,0.631,0.52,麥格理,持有,賣出,24.200,20.800,瑞銀,買入,買入,30.500,32.210,高盛,持有,持有,27.900,28.000,摩通,買入,買入,28.500,30.000,大摩,買入,買入,30.000,32.000
02382,170.800,169.500,8.68億,166.100,168.300,5.15百萬,1.722,52.561,3.202,0.48,瑞銀,持有,持有,151.500,165.500,花旗,買入,買入,195.000,195.000,瑞信,買入,買入,175.400,175.400,瑞信,買入,買入,186.000,175.400,野村,持有,買入,160.000,160.000
02388,40.200,39.850,2.77億,39.850,40.350,6.94百萬,0.738,13.593,2.939,3.50,高盛,買入,買入,45.200,45.200,大摩,買入,買入,50.000,50.000,里昂,買入,買入,42.550,43.500,花旗,買入,買入,45.400,45.400,高盛,買入,買入,46.400,47.400
02628,23.050,23.000,8.66億,22.700,23.050,3.79千萬,1.091,16.642,1.370,2.14,大摩,持有,持有,26.000,26.000,瑞信,買入,買入,28.000,26.000,滙證,持有,買入,26.000,26.000,德銀,持有,持有,28.500,24.700,瑞信,買入,買入,29.700,28.000
03328,6.430,6.380,1.52億,6.310,6.440,2.40千萬,0.880,5.788,1.092,5.43,法巴,未評級,持有,尚未評級,6.700,瑞信,持有,持有,7.200,6.600,高盛,賣出,賣出,6.400,6.300,花旗,買入,買入,6.700,6.900,瑞信,持有,持有,6.100,7.200
03988,4.250,4.250,9.08億,4.180,4.250,2.16億,1.102,6.183,0.676,5.05,法巴,未評級,持有,尚未評級,4.100,瑞信,買入,買入,5.600,4.900,高盛,持有,持有,4.500,4.700,花旗,買入,買入,5.020,4.850,瑞信,買入,買入,4.900,5.600
