Date,Symbol,Nominal price,High,Share Tr,Prev Close,1 Month High,MKT Cap,Low,Turnover,Open,1 Month Low,Short Sell,Bid,10-D SMA,Ask,20-D SMA,No of Tr,50-D SMA,Amount/T,100-D SMA,VWAP,250-D SMA,52-W High,52-W Low,Admission Fee,14-D RSI,Spread,10-D R. of Return,P/E Ratio/Est.,Rate of Risk,% Yld/Est.,Risk Return Rate,EPS,Beta,DPS,NBV Per Share
2018-06-06,0023,33.100,33.250,1.342M,32.650,34.800,91.670B,32.350,44.280M,32.900,31.650,5.748M,33.050,32.445,33.100,33.093,693,32.948,"63,897",33.014,32.996,32.966,35.250,30.550,"6,620",46.900,0.050/0.050,1.690%,10.312/16.974,0.895%,3.867/2.795,1.888,HKD 3.210,+0.590,HKD 1.280,HKD 32.357
2018-06-06,2628,22.800,23.000,33.627M,22.800,23.100,169.659B,22.800,770.480M,22.850,21.450,110.339M,22.800,22.115,22.850,22.313,1977,22.064,"389,722",23.201,22.913,24.181,28.200,21.100,"22,800",61.434,0.050/0.050,3.636%,16.498/15.157,1.495%,2.176/2.645,2.432,RMB 1.130,+1.094,RMB 0.400,RMB 11.355
2018-06-06,0267,12.060,N/A,7.191M,12.020,12.140,349.665B,11.960,86.630M,12.100,11.100,22.533M,12.040,11.638,12.060,11.782,897,11.521,"96,578",11.558,12.047,11.558,12.800,10.700,"12,060",59.063,0.020/0.020,4.325%,7.987/7.265,0.366%,2.985/3.101,11.818,HKD 1.510,+0.796,HKD 0.360,HKD 18.939
2018-06-06,0027,65.900,65.950,25.043M,65.150,71.050,281.341B,N/A,1.633B,65.400,64.850,62.798M,65.850,68.170,65.900,68.215,4443,69.408,"367,544",67.737,65.208,57.970,73.850,43.160,"65,900",37.593,0.050/0.050,-3.725%,26.887/22.962,9.075%,1.123/1.307,-0.411,HKD 2.451,+1.038,HKD 0.740,HKD 12.878
2018-06-06,0288,8.130,8.290,33.725M,8.180,9.030,120.045B,8.130,276.397M,8.180,7.880,4.176M,8.130,8.310,8.150,8.257,3784,8.338,"73,044",8.787,8.196,8.282,9.900,7.210,"4,065",47.294,0.010/0.010,-6.444%,13.300/12.483,0.631%,3.321/3.571,-10.213,USD 0.078,+0.687,USD 0.034,USD 0.508
2018-06-06,0002,82.200,N/A,2.362M,82.050,82.590,207.295B,81.800,194.096M,82.250,79.740,12.706M,82.150,81.662,82.200,81.426,1485,80.511,"130,705",78.660,82.174,78.647,82.590,73.300,"41,100",55.616,0.050/0.050,1.431%,14.574/15.083,1.763%,3.564/3.624,0.812,HKD 5.640,+0.244,HKD 2.910,HKD 43.024
2018-06-06,3328,6.320,6.340,18.250M,6.280,6.430,219.874B,6.260,115.286M,6.260,6.120,13.996M,6.320,6.262,6.330,6.293,2178,6.272,"52,932",6.326,6.317,5.995,7.130,5.439,"6,320",49.894,0.010/0.010,0.637%,5.679/5.557,0.316%,5.646/5.612,2.016,RMB 0.910,+0.891,RMB 0.286,RMB 9.037
2018-06-06,0386,7.550,7.670,95.342M,7.590,7.859,193.647B,7.500,722.243M,7.500,7.030,124.740M,7.550,7.449,7.560,7.505,2873,7.087,"251,390",6.525,7.575,5.785,7.859,4.909,"15,100",56.643,0.010/0.010,4.730%,14.594/11.872,0.751%,8.213/5.508,6.299,RMB 0.423,+1.019,RMB 0.500,RMB 5.997
2018-06-06,0388,258.600,260.400,3.560M,258.000,267.400,321.664B,257.400,921.837M,258.000,250.200,38.383M,258.400,257.340,258.600,258.730,2453,256.996,"375,800",268.555,258.943,236.583,303.150,192.200,"25,860",49.792,0.200/0.200,-0.308%,42.886/33.738,29.652%,2.088/2.646,-0.010,HKD 6.030,+1.405,HKD 5.400,HKD 30.063
2018-06-06,3988,4.190,4.220,166.766M,4.200,4.300,351.214B,4.190,701.531M,4.220,4.050,78.701M,4.190,4.142,4.200,4.178,3304,4.193,"212,328",4.276,4.207,4.025,4.960,3.568,"4,190",52.387,0.010/0.010,1.208%,6.118/5.616,0.256%,5.248/5.546,4.718,RMB 0.560,+1.097,RMB 0.176,RMB 5.082
2018-06-06,0003,17.340,N/A,22.560M,17.280,17.300,241.707B,17.280,391.077M,17.300,16.480,56.585M,17.320,17.060,17.340,16.981,2359,16.546,"165,781",15.974,17.335,15.281,17.300,14.280,"17,340",69.282,0.020/0.020,2.241%,29.490/29.390,0.738%,2.018/2.053,3.036,HKD 0.588,+0.257,HKD 0.350,HKD 4.321
2018-06-06,0005,76.500,76.750,13.478M,76.500,78.250,"1,558.980B",76.200,1.031B,76.200,74.220,104.418M,76.450,76.480,76.500,76.622,2551,75.629,"404,009",77.374,76.495,74.361,83.582,63.572,"30,600",51.007,0.050/0.050,-1.290%,20.310/13.927,4.050%,5.206/5.231,-0.319,USD 0.480,+0.694,USD 0.510,USD 9.362
2018-06-06,0066,44.600,44.600,2.298M,44.350,45.900,266.512B,44.350,102.411M,44.350,42.730,12.974M,44.550,44.095,44.600,44.497,1151,43.222,"88,976",42.806,44.565,43.624,45.930,39.680,"22,300",54.399,0.050/0.050,1.710%,15.760/26.143,1.389%,2.511/2.545,1.231,HKD 2.830,+0.373,HKD 1.120,HKD 27.681
2018-06-06,0688,28.450,N/A,18.311M,28.200,28.550,308.965B,28.250,520.959M,28.250,25.300,96.669M,28.400,26.605,28.450,26.875,1779,26.928,"292,838",27.808,28.451,26.137,32.200,22.150,"56,900",63.638,0.050/0.050,6.754%,7.648/7.648,1.994%,2.812/3.269,3.387,HKD 3.720,+1.155,HKD 0.800,HKD 24.251
